CODIGO_CLIENTE,DIA_VENCIMENTO_FATURA,ESTADO_CIVIL,DATA_NASCIMENTO,DATA_ATIVACAO_LINHA,MEDIA_FATURA,VALOR_PLANO,SEXO,IDADE,FAIXA_ETARIA,TEMPO_RELACIONAMENTO_MESES,FAIXA_RELACIONAMENTO,REGIAO,UF,QUANTIDADE_LIGACAO,STATUS_VENDA
1148920370,17,NAO INFORMADO,1986-06-30,2018-03-29,49.99,49.99,F,32,3. 30 - 39,13,3. De 7 à 12 meses,SUDESTE,MG,15,1
1150458364,21,NAO INFORMADO,1999-09-14,2018-04-11,64.99,64.99,M,19,1. 18 - 24,12,3. De 7 à 12 meses,NORTE,AM,28,1
1148677244,17,NAO INFORMADO,1999-01-15,2018-03-27,64.99,64.99,M,20,1. 18 - 24,13,3. De 7 à 12 meses,CENTRO_OESTE,MT,10,0
1155509866,21,NAO INFORMADO,1981-07-03,2018-05-22,35.99,35.99,M,37,3. 30 - 39,11,3. De 7 à 12 meses,NORTE,AM,27,1
1149453439,26,NAO INFORMADO,1998-01-02,2018-04-03,35.99,35.99,M,21,1. 18 - 24,12,3. De 7 à 12 meses,NORTE,PA,11,1
1148417249,6,NAO INFORMADO,1988-08-14,2018-03-24,35.99,35.99,M,30,3. 30 - 39,13,3. De 7 à 12 meses,NORDESTE,BA,23,1
1154275495,1,NAO INFORMADO,1979-08-12,2018-05-11,35.99,35.99,M,39,4. 40 - 49,11,3. De 7 à 12 meses,NORTE,RO,11,1
1147873453,17,NAO INFORMADO,1964-04-28,2018-03-20,35.99,35.99,F,54,5. 50 - 59,13,3. De 7 à 12 meses,SUDESTE,RJ,3,1
1153052953,26,NAO INFORMADO,1976-06-03,2018-05-03,35.99,35.99,M,42,4. 40 - 49,11,3. De 7 à 12 meses,CENTRO_OESTE,MS,13,1
1153945458,26,NAO INFORMADO,1958-04-11,2018-05-09,35.99,35.99,F,61,6. 60 - 69,11,3. De 7 à 12 meses,CENTRO_OESTE,MS,21,1
1153941422,21,NAO INFORMADO,1994-10-07,2018-05-09,64.99,64.99,M,24,2. 25 - 29,11,3. De 7 à 12 meses,NORTE,AM,15,1
1148630221,6,NAO INFORMADO,1965-10-01,2018-03-26,49.99,49.99,M,53,5. 50 - 59,13,3. De 7 à 12 meses,NORDESTE,SE,32,0
1148407376,6,NAO INFORMADO,1975-11-30,2018-03-24,49.99,49.99,M,43,4. 40 - 49,13,3. De 7 à 12 meses,SUDESTE,RJ,1,0
1147448337,26,NAO INFORMADO,1970-10-22,2018-03-15,35.99,35.99,F,48,4. 40 - 49,13,3. De 7 à 12 meses,NORDESTE,BA,2,0
1148175084,26,NAO INFORMADO,1958-03-10,2018-03-22,49.99,49.99,F,61,6. 60 - 69,13,3. De 7 à 12 meses,NORDESTE,BA,2,0
